A4,A5
5,1) First Class Honours degree  2) CCA experience  3) Research experience
4,Gain the required mental capacity and knowledge to prepare myself for the work force.
4,to prepare me for the workforce
5,to have more hands-on experiences and application-based scenarios.
4,- gain a meaningful experience in academics and social life
5,
4,Learning skills in the technical area and gaining soft skills.
5,Get a good degree education and have a memorable university life.
4,To do well n grad
1,"To be able to learn without the pressure cooker environment  To be able to raise awareness for causes I'm passionate about e.g food wastage is a huge problem in NTU, since NTU hosts so many events"
4,"Have a fruitful university experience, in terms of education and research"
3,Get a degree
4,Get a degree  Gain knowledge in my area of interest  Prepare for future employment and further studies  Opportunities for personal development
5,Get an overall education system. Balanced education
4,
5,Making more friends while enjoying university culture and obtaining a degree.
4,NIL
4,"to make more friends, to learn more academically, to expose myself to different aspects of school/campus life"
4,
4,Obtain bachelor and experience uni life
4,
4,To grow as a wiser student
5,
3,I wish to be equipped with the necessary skills before stepping into the working society.
4,"To learn in my area of study in a more practical approach, to be exposed to planning and experiences outside the clasrooms"
4,To learn more about the world through physics
4,Get second class upper.  Learn relevant modules to the working world.   Experience campus life.
5,1) Develop my leadership skills  2) Deepen my interest and understanding of doing research
4,Obtain the skills for workforce
4,
4,To graduate having gotten more love about my subject and to get some overseas exposure and to learn about new subjects
5,
4,To get myself a career/job I would be interested in
5,"to get a degree, gain laboratory/research experience."
4,"Get a degree, prepare for work life."
4,
4,Get a good degree and a good job
4,"to gain both work experience and academic knowledge on the course that I am majoring in. I have completed the required academic units for my course of study and currently interning. I have gained the required knowledge and being able to intern in a company which I have been wanting to since years ago, fufilled the main objectives for the four years in NTU."
4,"To gain more knowledge about my major and at the same time, have the opportunity to explore more unfamiliar subject areas to improve on my critical thinking skills."
4,Make friends and enjoy the learning process
4,Do well and make a lot of friends and gain soft skills
5,"The main objectives that I wish to fulfill at NTU is to gain as much new knowledge as possible and to polish and improve on existing skills that was gained during polytechnic. NTU has geared me with the necessary skills to broaden my knowledge and has also prepared me for the workforce. Not only that, I had experience new things throughout my life in NTU. NTU has given me the chance to be part of a CCA group, Welfare Service Club Nanyang Technological University for 2 years in a row and also the change to experience study abroad with GEM Explorer."
2,nil
4,"Learn skills outside of the textbook and apply what I have learned from the various modules to practical situations, be it in the laboratory environment or presentation skills."
4,To study what I love
4,"Gaining knowledge, exposure, learning social skills.  Finding out my direction in life."
4,
4,Get a 1st class honours  A scholarship for phd  Connections with scientific community   Friendships
3,To come out as a well rounded individual equipped with required knowledge and skills
4,
4,"Gain knowledge in the course I am in, meeting new people who share the same interest as me, as well as obtain opportunities to do new things."
5,Nil
4,"Graduate, enjoy school life"
4,Get a degree and develop skills for the working world.
4,"good work life balance, more friends"
4,
4,"Attain greater knowledge in the domain of chemistry, and to develop other transferable skills in the course of doing so."
4,Complete my tertiary education and to learn more about myself
5,Foundation and knowledge for future job prospects and independent learning.
4,Gain exposure and able to handle experiments.   Build up strong foundation in my Major
4,"Obtain a good degree, be exposed to a wide variety of activities"
4,"To  1.  obtain a degree.  2. Widen my social circle, make new friends   and realise my potential"
3,
5,"Knowledge learning, attain desired qualifications, expand network"
4,Get a degree
3,
1,
5,"Networking, building up social skills, and getting a good degree"
3,
3,To learn something that I can relate to the working industries.
4,Have a fulfilling student life before getting into the work life
3,Learn about the natural laws of the physical world
4,
4,
3,Make life-long friends. Get a good honours degree.
4,Build confidence and complete course of study
5,Gain research experience
4,To obtain the necessary skills to be able to perform well in the workforce.
4,Being educated and gain more knowledge about mathematics and economics. Making and bonding with new friends. Knowing what an university education is like. Experience the university life. Being good enough to be attractive to potential employers.
5,"Get a degree, experience hall life"
5,To gain experience which I am unable to get in the working world
4,-
5,to learn the skills required to enter the workforce
4,Find a job. Get a relevant degree.
5,Gain opportunities and connection to the outside world. Learn and gain transferable skills while working along side with other coursemates.
4,
5,"Academic , experience, exposure, Fun"
4,Obtain an education that would help me in my future studies and experience a fulfilling and fruitful University campus life.
1,To get good grade
4,Intellectual development  Greater perspective
5,
4,-
4,
3,Balance between academic and cca experience
4,
4,To have a memorable university life!!
5,"to acquire various skill sets that transferable even from different faculties which allows us to bring along when we graduate, and also to make new friends and being in touch even after graduation"
3,Gain knowledge and skills in my field of study
4,To learn what I can while I am still studying in NTU
4,
3,graduate in time
2,To learn skills relatable to the field that I am studying
4,
5,Learning relevant knowledge and improve cognitive skills
5,
4,Get a better knowledge and learn new skills
5,to graduate and secure employment
3,
4,"Get a degree, get a good job"
5,to attain knowledge and thus a degree that is relevant in the society and applicable in helping me fulfill my future career goals
4,Gain my knowledge with regards to the science field  Meet new people and interact with people from all over the world  Forge ever lasting friendships
4,"Achieve a reasonable degree, with useful school and exchange experience to better prepare me for the working world"
5,"I hope to learn as much as I can and I hope he able to take part in activities that strengthen my love for volunteering.     I hope to, through NTU, have a fun and memorable time during the last phase of my study life."
5,
4,Gain relevant knowledge   Make friends  Enjoy uni life
4,"Gain valuable experience and skills that are truly applicable to outside industries. Not just theoretical knowledge, but practical knowledge also."
4,Completing my degree and expose myself more to the working society
4,"Knowledge, connections and personal growth"
4,Have a clearer idea what I can do in the future and where I should head to
4,Get a degree  Experience school life  Get enough hands on experience before going out to work  Build up resume
5,Gain practical skills and knowledge  Make new friends  Learn about the research that professors are working on
4,
3,To increase my interest in science.
3,Learn the practical knowledge that could aid in my future job
3,Get my Degree.
5,education
4,
3,
1,To be able to study specific modules that satisfy my interest and propels me for my future career aspirations.
5,Graduation  Friendships   Activities
5,- Overseas Community Involvement Programmes  - good networking   - good opportunities for leadership position  - internship
4,
4,- to acquire relevant research experience for my further studies in the future  - participate in various activities that are not academic-related  - make friends with similar interests
4,"Improve laboratory skills, learn something else beside the course that I'm studying, plan events for the school"
4,To learn more hands on approach towards projects.
4,Graduating
3,"Gain a degree, and develop critical skills and lifelong lessons needed in the future"
5,To understand more about the course of my study.  To have an enriching life in university and to make friends that are not just acquaintances but deep friendships built.
5,To be confident in performing engineering roles
4,
5,"To learn more about the field I have chosen, as well as subjects or topics that interest me outside of my major."
4,"Obtaining a degree, making new friends, building network, learning more knowledge"
5,
4,Learn more technical skills to prepare me for my future career  Interact with people from all over the world and gain soft skills
5,to excel in academic dance and sports.
4,Complete my degree programme without any issues and make good friends
5,Independent living  Explore my interests  Global learning experience   Make more friends  Exchange oppotunities  Gain knowledge and prepare me for the working world
4,
4,To step out of my comfort zone and interact with more people with similar interests as myself in a CCA. To receive quality education with hands-on experience in related industry.
4,"Do well, learn more of the things that I am interested in, and make friends."
3,"Take a variety of modules (excluding those that must be fulfilled for my major), make new friends"
3,Ready myself for the working world
4,"To learn and obtain a broader perspective of life, to attain knowledge and be curious as I learn more"
4,Getting a degree
3,Learn life and transferable skills.
5,Making good memories and good friends.
3,An enriching and intellectually stimulating experience
4,Get a globally recognized degree and get to be educated in class as well as practical skills demanded by the workforce in my professional area
4,Get my Master's degree as part of the Integrated Programme and find a job after I graduate
4,Get a Degree.  Learn more about the world.  Interact with people with different ideas.
4,Gettiing a degree
4,
5,
3,Get a degree  Experience more independent learning  Understand what I might want to do in the future
4,"To gain a firm foothold in the scientific research field. NTU is able to provide me a strong foundation, skills, knowledge and critical thinking skills for me to further my research interest."
5,
1,A holistic education which will help me to achieve what I want to achieve in life
4,Have a better understanding of the knowledge of the world
3,
4,"Earn my bachelor degree, join hall activities and participate in school events"
5,
4,
5,Obtain a reputable degree and to learn and explore more about things that I am interested in.
4,
5,to get my degree. Get a good experience during internship. Leave my comfort zone.
4,To get my degree and acquire the knowledge for my career.
3,"Learn more practical, hands-on skills and also soft skills that would enable me to ease into my job related to my course once I graduate"
3,Exposure. Degree. Friends.
4,1. Graduate with a good degree.  2. Make new and good friends in the same field who can last for a lifetime.  3. Have an enriching and fun university life before heading out to work
4,
4,to get a degree with honours and also fun experiences
4,Gaining new information and knowledge to have a competitive advantage in the working industry.
5,
4,Get a basic education in my field of interest and garner opportunities to further my studies
4,
4,"1. To learn about the latest trends/discoveries in my field of study, and  2. To be able to practice critical thinking, and  3. To help me get to my most preferred career"
4,To get an internationally recognized degree and also to have a balance university life to prepare myself for the working life in the future
4,"To reach academic excellence, which will propel me to a desired career path, and to gain international exposure through exchange program."
4,
4,To be equipped with skills that future employers want
5,to become a professional in the field of rehabilitation and sport science
3,
1,
5,"Pursue my passion in my degree course together with other electives offered in the school. Apart from pursuing academically, being able to make friends and know more people both locally and internationally. NTU has a great learning environment, being able to walk and be around in NTU has make my learning experience a fruitful one."
4,"I have 2 main objectives.    The first is to get a good academic experience. This means the following: (1) taking intellectually interesting modules and (2) modules that contain a significant amount of content knowledge which have a strong possibility of being relevant in the industry most related to my degree.    The second is to network well around. This means interacting meaningfully with students, academic staff and also professional experiences (i.e. internships and professional sharing/networking sessions)."
4,- networking  - learning how specific industries worked
4,To graduate with a 2nd upper honours.
4,"Further my academic studies in a specific field of interest  Obtain soft skills useful for daily life (i.e. Critical thinking, handling corporate and personal relationships, process of analysing problems and issues etc)  Understand personal strengths and weaknesses  Get a greater understanding of the field of work or academia that I would like to pursue beyond university"
5,1. Go on an exchange program   2. Stay in hall   3. Play sports
4,Getting a good graduate job upon graduation.
4,-
4,Broadening connections and increasing exposure
3,holistic improvement
5,Make friends and learn as much as I can
5,To get a job that I'm passionate about after I graduate.
3,To graduate with a degree and meet new friends with the same interest and passion.
4,To explore the content that I foresee my course would be teaching in a deeper manner.    To have a chance to experience work in the field I am studying in    To engage in meaningful projects
4,-
4,"Staying in hall, participating in activities and have a diverse uni education"
5,Have fun   Make quality friendships  Expand my knowledge
4,To learn related skills and knowledge in the Sports Science Industry and to be equipped for the working world.
5,Get an education  Make friends  Gain knowledge in my field of study
4,Learning more about what I am passionate about: Sports  Having a future in our Singapore economy
4,
4,Completing my degree programme
3,Identifying a possible career path requiring skills relevant to my degree
3,
2,
4,"Get a degree, make friends, become a better person."
4,Get a good understanding of the jobs available in the market.  Obtain a job.  Ensure that I have the relevant skill level required for the job I have obtained.
3,
4,Get a job upon graduation  Hone academic and leadership skills
5,
5,
4,"Gain professional qualifications, acquire a degree to help me move towards the career I want."
4,- get a good foundation in accountancy  - go on internships  - find a job  - be involved in CCA   - make friends
4,To network  To learn soft and hard skills that are relevant to the business industry
4,
5,Equip myself with knowledge and skills that I require to reach my career goal
5,Acquire accounting and relevant knowledge and graduate with a degree
4,Have an enriching university life which can help prepare me for the working world
5,aspire to be one whom makes sustainable business decisions.
4,Explore career opportunities before securing a desired career
4,
3,"get a good degree, make new friends."
3,"Get a degree, make friends"
5,Gaining knowledge and experience through the modules taken as well as school activities.
4,Attain a good degree and make good friends
4,"Learn functional knowledge for future career, boarden my horizon and thinking"
4,
3,Acquire an excellent degree that opens up new opportunities
5,To undergo a high quality education and to do well in it such that i can know what i want to do after graduation and to pursue them.
4,get a degree  have a vibrant student life
5,Make friends; build connection; experience different activities; experience hall life
2,Applicable knowledge to the real world.
4,Learn useful professional and life skills
3,"Get degree, make friends, pick up critical thinking skills"
4,to be prepared for workplace
4,"Enjoy campus life, learn well"
5,"Learning the skills I will need in my working life in the future, like soft skills such as communication skills as well as technical knowledge.  Make new friends."
5,To obtain professional knowledge and skills.  To make good friends and enjoy uni life.
4,
4,
5,Graduate with good honours.
4,
4,
5,Develop character  Build enriching networks
4,Obtain a degree that provides me a holistic education
4,Sharpen my finance knowledge and to work towards getting into the finance industry
4,1) Get my Honours  2) Learn skills  3) Know friends
4,My main objectives is to develop soft skills on top of the technical knowledge that we acquire in class and at the same time widen my pool of friends.
5,
4,
4,Further my studies in accountancy
5,"Obtaining a job, meeting new people and peers, have a fruitful undergraduate experience."
4,"Receive a holistic education, maintain a healthy and social lifestyle - which were both mainly fulfilled by staying in hall"
4,
4,"Academic knowledge and results, friends, hall life experience, cca experience, internship opportunities."
3,
4,Graduate with an honours degree
4,Graduate with a honours degree
4,"Diversity of learning experiences, Broad academic opportunities, Overseas exchange"
5,"Attain and graduate with a degree that is demanded by the market, and studying what my interest lies in"
4,To gain technical knowledge and soft skills   To lead a fulfilling student life
5,To gain more knowledge and learning experience in accounting industry and making friends as well
4,To find a good job after graduation
4,Learn well and be able to make more new friends.
5,- Get a good degree  - Make new friends  - Join fun CCAs
5,Have a fulfilling uni life.
5,Getting a degree
5,Gaining soft skills such as interpersonal and communication skills. Networking with companies for a better career. Broadening global views.
4,
4,Graduate with degrees and a network of friends
4,
5,
4,
4,
4,Get a good education   Meet good professors   Have good friends
5,Graduate with Business degree
4,"Meeting new people, Expanding my network, receiving a world class education, participating in school camps, hall life, improving myself."
4,"get exposed to the reality of working world, meet similar-minded individuals, build up my soft skills and technical expertise"
4,"Get a good degree, make more friends, participate in cca, go overseas to study, internship experience"
3,- To gain knowledge and skills necessary to prepare me for the working world  - To make new friends and widen my social network  - To take modules that I never would have been able to take outside of NTU
4,Getting to know what I want to be in life and what job to take after graduation. To be able to appreciate the lessons being learnt and how to apply them in my daily lives.
4,I learn a lot about my educational field and had a good community of friends
3,Good education
4,
4,Gaining real world industry knowledge
4,To get a degree
4,NIL
4,To get a get recognised degree
4,Enhance core practical knowledge for real world application  Expand social network circle
3,get 2nd upper
4,Learn something new and applicable to the business world.   Learn new skills.   Communicate better in the workplace.
5,1. To try having a part-time research student assistant job   2. To have an overseas experience of any form (exchange or overseas experiential trips)   3. To be actively involved in various clubs of interests in school   4. To experience hall life
4,-
4,- Learn diversely and with true understanding   - Value add back to the school   - Learn new skills   - Have fun because it's the last time to truly do so
4,To gain knowledge in an environment that can foster curiosity and learning beyond my own interests.
3,
4,Learning and campus life
4,- To get a degree  - To go for exchange
2,- Meet like minded entrepreneurial people  - Learn future-ready skills and knowledge that would be relevant to the workforce
4,Obtain knowledge relevant to future job
5,Prepare me well for my career by equipping me with the relevant skills necessary for where I want to work at in future. I also hope that NTU will help me find what I am passionate in and where my interests lie.
4,
4,
3,"To meet people, learn and graduate"
4,- network  - friendships  - academic  - extra curriculum
5,Learn and make friends
4,"To obtain a degree, get many leadership opportunities and forge friendships"
4,To learn as much as I can and find out what I really want to do in future.
5,
3,"Have a holistic education which includes CCA involvement, understanding business concepts, and broadening my horizon and network."
4,Get a decent job that suits my aspirations.
3,- Meet like minded people  - Make myself a competent business leader
4,"Expand network, get good academic results and expose myself to hall and and participation in more co-curricular activities"
5,1) Theoretical learning and application of knowledge to exercises that attempt to mimic real life situations.  2) Develop myself holistically through both academic and co-curricular activities.  3) Pick up or improve on soft skills such as leadership and communication.  4) Be assisted in exploring different career paths and gaining valuable exposure to career opportunities.
4,"Attain a holistic experience where I can gain technical knowledge, practical skills and new perspectives, while connecting with peers with myraid backgrounds."
4,
4,Gaining more exposure and finding my passion for business
4,"Since I am a business student, my main objective is to better equipment myself with business related knowledge."
4,"To obtain a recognized degree, enrich myself beyond field of study"
4,I aim to pick up useful skills that are transferable to working career during my time at NTU. I also aim to build everlasting friendships and enduring relationships throughout my studies
4,academic achievements and improvement in relevant professional skills
5,"Get an education of my interest, and a starting job post-education."
4,Get a degree and know more people. Make more friends
4,- degree education  - hall experience
4,Academic goal - getting a degree with good honours and pursuit intellectual knowledge beyond the classroom  Social goal - make friends and networking  Lifeskill goal  - learn practical skills useful in society
4,To gain knowledge and skills that are applicable in the business world and to enjoy my school life before work actually begins
4,Getting degree with honours
4,Broaden my perspectives and build more friendships   Be an asset to the society
5,Now fulfilled
4,To get education of good quality
5,
4,
5,
3,Start a successful business with support from the school
4,
4,
5,
3,
4,
4,Being prepared for the workplace
5,Successful career preparedness
3,"Teamwork, prepare for the real world, improve technical skills, gain leadership skills"
4,"Making new friends, get my degree and engage in social services"
4,A step to prepare us for the working world  What we learn is related to our future work
4,"Develop critical thinking skills, social skills, presentation skills, and get a job."
4,Obtaining accountancy knowledge  Experienced in organizing events  Getting to work with people from different background   Learning how to see things in a new perspective
4,Holistic uni experience
4,"Obtain a recognized degree, be able to get a job before I graduate."
4,"Acquiring transferable skills, establish network of friends, a rewarding learning journey"
4,"to have a good learning experience, in terms of both academic as well as non-academic area such as joining various activities to make more friends and have fun."
3,"To learn more about the real world experiences, for example, learning more skills that will benefit the working life, rather than just theories. For instance, modules like Strategic Brand Management, Services marketing and Marketing strategy which are Prescribed Elective modules are very useful to us. I was able to apply the skills i learned in Marketing Strategy and see how it works in real life during my internship. However, we are only allowed to choose 2 out of all the available options. Instead, all the theory modules like Marketing Relationship, Marketing Behaviour and Marketing Relationship are just theories and are useful to only a small extent in the real marketing world."
5,network and make new friends  learn something useful for my future career
4,Get a good degree and build knowledge and experience that will help me in my future job.
4,- Make new friends  - Receive quality education  - Go for an exchange programme
4,Get a degree and enjoy university life
4,"To make more friends, to open up to people, to gain knowledge"
4,Graduate with honours  enrich my learning  secure a job (although it was secured before I joined NTU due to a scholarship bond)
4,To get a degree in accountancy and to experience travel at least once during my undergraduate year
4,- learning opportunities   - broadening network
4,Find direction in job search - has not really been fulfilled.   Semester long exchange in Europe - achieved and grateful for the opportunity.
4,Learn specific skills that are valuable and relevant in the workforce. To develop and grow as a mature individual.
4,"Having an enriching learning experience in my degree programme, meeting and getting to know people (friends, professors), striking a good balance between study and life"
4,Gain practical skills necessary to clinch a job and excel in the workplace
4,academic achievement and bonding with people
4,"-have a holistic education and broaden my perspectives through interaction with my peers from my course, and also students from other faculties  -to create networks of peers from various faculties to enhance my learning experience  -participate in meaningful and fulfilling extra-curricular activities"
5,Have an all rounded university life and to learn skills useful for the future.
5,"Become more confident, a better communicator.  Chances to network with people in the industry."
4,
4,Graduate with a degree with honors  Experience student life living in the halls
4,
4,"Learn a skill which is useful to my future job, gain lifelong friends, develop myself holisitically"
4,Holistic education. Pick up degree related skills as well as soft skills and general knowledge
4,"Get a good degree and graduate with first-class honours, with a job and debt-free."
4,"Degree, internships, school life"
4,- Holistic education  - Have the time to network and exchange ideas.
5,
4,Get an actuarial job after graduation and live a fulfilling and vibrant university life.
4,Student life  Academic achievement  Personal developmemt  Social skills
4,To learn knowledge in the specific area of expertise and make new friends
5,Getting an internationally recognised degree and leading a club
5,
5,
3,Equip me with the necessary skills to be a skilled professional
5,
5,"Maximising my career readiness through: 1) Academic Success, 2) Career Experiences, 3) Business Networking, and 4) Capabilities Building."
4,
4,
4,To obtain a better understanding of accounting issues and knowledge that is required of an accountant
4,to find a good job with good prospects and of my interests upon graduation
5,
5,-Critical thinking skills   -Communication and presentation skills  -Network and meet new friends  -Tap on the professional networks and internship/graduate opportunities provided by the Career Services and Career Affairs Office
5,"On top of excelling in education, I also aimed to experience hall life and studying overseas."
4,
4,To be able to fully prepare myself for the workforce
5,1) Meeting like-minded peers who will support you  2) Gain a strong understanding in my field of study  3) Stepping out of my comfort zone and experience new things
4,To get a degree and gain from many enriching experiences
4,- Acquire knowledge that will help me kickstart my career  - Expand my network of friends
4,"Learn, forge strong friendships and enjoy school life"
5,"academic rigour, fulfilling hall life and school activities"
4,
4,Holistic education where I could take modules from a diverse range of disciplines.  Fun and fulling social interactions from the rang of activities organized by the students and school
3,Make more friends  Acquire relevant skills for my career
4,
4,"Obtain a recognised degree, learn lessons outside of the classroom, and personal development"
4,- To expand my network - picking up social skills through interactions with peers  - To graduate with at least a second upper - conducive academic environment and competent professors
3,
4,Get a respectable degree (NTU Accountancy is more well-known hence I chose NTU)
4,
4,- Experience exciting Uni life  -  Get my Honours
4,"Learning, marking friends, obtain a degree and find a job"
4,Gain knowledge and skills to equip myself for work in the future
4,Study and have good extra curriculum activities
4,I want to graduate with a degree in honours. And learn what I need to for my future career.
3,
4,-
5,Get a good degree and a good job
5,Good CGPA and making good and close friends
5,"Degree, Get a Job"
4,Get prepared for the working society holistically.
4,To network with like-minded friends. To learn more about how businesses operate and what makes them tick.
4,Get a degree
4,"To be able to learn more regarding my preferred field of study and be a better person (eg more knowledge, better character such as perseverance, better communication skills, better foresight)"
3,
5,"Make new friends, experience hall life, get a degree and a job, explore my interests and take on leadership positions."
5,Learn real skills applicable in the media/design industry.
4,"Main new friends, gain deeper knowledge, expose to overseas experience through exchange programmes."
4,"Complete my education, learn useful skills and life experiences, expand my network of contacts"
4,
5,Learning business theories and applications
4,"Get a degree, make friends,"
2,
4,"Good results, a entry point to my career and wholesome school life"
3,
4,"Get a degree and secure a job. In the process, enjoy, make friends and learn."
3,
5,Graduate with a good honours degree and enjoy a fulfilling campus life.
3,To get a degree and have fun
4,To get my bachelor degree.    To build up a network of friends that could be of help next time in my career.
5,
3,Obtain a reputable degree and secure a stable job before I graduate
3,
4,Have a holistic school life while attaining my degree
4,Obtain a professional degree so as to secure a stable job.
4,"Get the desired degree, make new friends."
3,"Grow as an individual, be more knowledgable and independent"
5,- Achieve my academic qualifications that would better my chances of getting employment opportunities after I graduate  - Build my network of professional and social contacts  - Enrich my life experiences by going through the numerous school activities that the school offers
4,Get a degree and understand what I want to do in life
1,To discover my passion and pursue it as a career.
2,1) To learn the content required for a professional career in finance efficiently from the knowledge the professors pass down to me  2) To utilize the school's network and resources and reach out to alumni or organisations  3) To meet like-minded peers that can continue on together in our career
4,Increase network and understanding of business
4,"Meet new people, learn about a wide range of topics. Being able to gain a strong foundation in my core specialisation. Experiencing campus lifestyle"
4,Getting a job I want
4,pick up life skills that will be useful to my working life.  acquire the knowledge and skills necessary to perform my job.
4,
4,gain technical knowledge
4,Establish meaningful friendships and build a solid foundation of knowledge and experiences before entering the workforce.
4,"Education, graduation with a good degree"
4,1. Meeting people from different faculties  2. Actuarial Science  3. Staying in hall
3,"To develop skills and acquire knowledge that shapes my individual development. University is the final transition to the adult world of either corporate or entrepreneurship, hence the importance of personal development and discovery."
4,nil
4,
4,"To develop critical thinking, have my perspectives broadened and to build a foundation of technical knowledge."
5,To grow wiser everyday. To expose myself to different challenges and learn from mistakes. To acquire skills for future career. To make friends and expand my network.
5,"My main objectives are to understand the nature of business activities and the environments within which they function. Gaining the knowledge of the theoretical and practical aspects of the operation of the various types of business organizations. Lastly to, develop competencies and attitudes in playing the various roles in the business world."
4,"Obtain a degree, get a job, pay bills"
5,To get a degree and equip myself with soft skills to be ready for the working world.
4,
3,Get a degree useful to my future career path
4,
4,Pick up relevant knowledge and soft skills which are useful in the workplace.
4,
3,To have a happy uni life
4,- To graduate with a bachelor degree  - To gain intercultural experiences through an exchange programme  - To complete internship programmes with large MNCs
4,Have a good balance between school life and campus (hall) life.
5,Gain relevant industry knowledge   Gain relevant working experience through internships  Build a strong network of friendships
5,To excel in academic matters and experience the vibrant student life in NTU such as through staying in hall and participating in CCAs
3,To gain more soft skills and become a more holistic person and prepared for the workforce.
5,"Hall experience, faculty camps and events, stepping stone to future jobs (career fair, career foundation classes)"
4,Have a holistic educational experience while at the same time enhance my personal development to prepare myself for the workforce in future.
4,To gain in depth knowledge about accounting and the field that allows me to be qualified to be an accountant in the future
5,Memorable student life and memories
4,to gain the relevant skills and knowledge to kickstart my career and to gain as much exposure as possible to be adequately prepared for the future.
4,
4,"Go on exchange, do well academically"
4,Attain a degree from a good university.
4,Getting a degree
5,"Be qualified to work as a professional when I graduate, be better at handling interpersonal relationships"
4,Experience a world class holistic education
5,
4,"Presentation skills, communication skills, academic skills."
4,To get a rewarding learning experience
5,-
4,"I wanted to become a more confident person when speaking in front of a group of audience. My time at NBS has allowed me to do so, and allowed me to make many friends in the process."
5,Acquiring industry standard skills
4,- Get a degree  - Learn skills to get a job
4,Learn & find a job
4,Learning something beyond the textbooks and applying it to the real world
4,To get a degree
3,"- Get a degree that will equip me with valuable skills which I can use to my advantage in my future career  - Joining an activity club that will enable me to carry my interests further by opening up opportunities to other platforms outside of school, and make friends with the same interests, hoping that these will last beyond my years in university"
4,
4,"To get a decent degree, to learn and gain useful knowledge, to kickstart career path"
4,-quality education   -fun
4,get a degree
4,Have a fun university life
4,"Learn new things, get ready to enter the workforce, develop both soft and hard skills"
5,
4,"Increase my social network, acquire knowledge and have fun."
4,To study and to make friends
3,To make friends with people around the world.  To be exposed to the different cultures.  To be able to speak out with more confidence.  To gain more overseas experience.
4,
4,
4,Attain my bahelors degree
5,Secure a good job. Have fun. Learn a lot from my course of study
4,Equip myself with skills to handle the working world
4,To expand my learning   To think differently
4,
4,Get a degree
4,Well known recognition of the degree
4,
4,
4,Get a good starting job as a foundation to a successful career
4,
4,1.Experience overseas exchange programme  2.Obtain my degree qualification
2,Learn practical business related skills. Unfortunately at the undergraduate level most lessons are still heavy on theoretical concepts.
4,Get my bachelor's degree and to make more friends to have a broad social and career network.
5,"Making friends, getting a good degree, learning things that will help me in the future and enjoy my time"
5,To get a job offer from a well-recognised firm in Singapore
5,- Holistic school life.   - Good grades  - Soft skills useful in the workplace in the future.
4,Obtain a degree. Obtain useful skills to apply in the workforce
4,make good friends
4,Learn soft skills  Build up network  Increase career opportunity
3,Complete my undergraduate studies  Expand my social circle  Create new experiences  Self-development
4,- Attain a degree  - Exposure to job opportunities  - Experience undergraduate life
4,- complete an undergraduate programme and obtain a degree  - to learn skills and improve knowledge of industry I intend to work in
4,"Graduating with a recognised degree, doing well academically and experiencing a vibrant campus life."
4,Getting my degree and have fun while I can.
4,1) To gain knowledge that would help me in my future career.  2) To make new friends and create a strong network.
4,Education  Internship experience  Uni life and friends
5,Graduate as a competent and knowledgeable professional in the Audit field.
4,1) Be ready for the job market  2) Equip myself with both hard and soft skills relevant to the job market  3) Build a strong theoretical base in THM and Marketing
4,Get a bachelor degree before I can enter the workforce
4,Helping us achieve high standards in our future workplace
4,"Gain knowledge, know more people and become more confident during my presentation"
3,"Attain a recognised degree, develop knowledge in the related field of study, gain professional exposure in the industry"
3,
5,"2nd upper honors minimally, a 3rd language knowledge, and a good network"
3,getting a degree
3,"Have a conducive environment to study and have enough resources to tap on for learning. Also, to build our confidence and have oppotunities to build on my networks that will be useful in the future."
4,Gain relevant skills and knowledge for work. Foster relationships with others.
4,Have a well-rounded and meaningful university student life.
4,the piece of certificate
4,Obtaining an understanding of concepts required in my field of study and better equip myself with skills relevant to the working world.
4,To gain as much knowledge to guide me through a greater challenge in the working world
4,"Overall, I wish to obtain a good and adequate degree that is of relevance in helping gain the required knowledge and skill sets for a full-time career in the working world of Singapore. On top of this, also to act as a platform for me to have networking opportunities and interaction activities with people of my age (i.e. peers) as well as from credible personalities (i.e. teaching professors and prominent working professionals)."
4,
1,
4,Obtaining a degree and graduate successfully and land myself a job I like
4,education in theoretical and practical knowledge in my field of study
4,
4,
4,Complete a degree
3,
4,good academic result
4,be equipped with good interpersonal skills and deep knowledge in my field of study as well as forge bonds with my peers who are likely to my future work mates
4,
4,have a meaningful university life while completing my degree
4,
4,"Get a degree and good education to prepare me for my future, and get a job"
4,Gain technical knowledge and meet more friends
4,"Being in my last semester, NTU/NBS has helped fulfilled my main objectives, particularly enhancing my social networking, stress management skills, etc"
5,Gain a satisfactory understanding of my major
4,"Exposed to better career opportunities, score well in academics with great teachers coaching and mentoring, meet new life-long friends and join a great CCA that can enhance my passion."
4,Gain more knowledge and experience about accounting. Graduate successfully with a degree.
3,Learn practical knowledge on the corporate world to better prepare myself.
4,Have a deeper technical knowledge
4,To attain a good degree and to develop inter/intra-personal skills
5,making friends    learning practical knowledges
3,
5,"To increase my technical knowledge which will be useful to my career.  To socialise and network with friends and future colleagues  To obtain a good platform to broaden my learning experience through exchange, career talks and seminars  To get a good headstart in my career"
4,
4,
5,Acquire value-added skill sets that prepare me for my career.  A highly recognised degree.  Leverage on the strong network NTU career services team has established
4,"Networking  Learn things about my degree, and be able to apply it in real life situations (or at least be able to see how I can apply it in real life situations)"
4,
4,"- Gain sufficient knowledge and relevant skills that I could apply in my future career.  - Explore a different culture, which I got to achieve through exchange programmes.  - Gain a rough understanding of how my future work will be like, which is achieved through internship programmes."
4,
3,
4,
5,To equip myself not just with academic skills but life competencies.
4,Interact and know more people. Gain as much experience and learn as much as I can before going into the working world.
3,Learn instead of just sitting for exams.
